yr,cls,inc_cost,tot_cost,tech_type,base_cost,fuel_1,fuel_2,range_limited,intro_yr,intro,final,incr_cost,fuel_mo,cost,interval_k_miles,monthly_mi_dep_savings,subsidy,f1_mpgde,f2_mpgde,CD_range,flt,cohort,VMTShr,TruckShr,VMT,price_dge_f1,price_dge_f2,fuel_avail_pref_factor_multiplier,OPDAYS,VMTperday,fuel1_vmtshr,monthly_fuel_cost,base_monthly_fuel_cost,monthly_savings,pref_factor,indifference_calc,inc_cost_adj,adoption_curve,cumulative_proportion_willing_to_adopt,indiv_tech_adoption_rate,adj_indiv_tech_adoption_rate,final_mkt_shr,tech_shr_of_vmt,tech_shr_of_trk,conventional_diesel_ice,adv_conv,hev,bev,fcev,na
2021,78Sleep,151412,151412,base,151412,Diesel,N/A,FALSE,NA,NA,NA,NA,NA,0,350,0,NA,6.488893949405459,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,2.975979101,NA,1,250,896.1680079175497,1,8562.634362079889,8562.634362079889,0,NA,NA,0.062176524022116264,Moderate,0,0,0,1,0.050731034221433824,0.025879387454831333,NA,NA,NA,NA,NA,NA
2021,78Sleep,1000000,1151412,alt,151412,Diesel,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,6.499474553029177,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,2.975979101,NA,1,250,896.1680079175497,1,8548.695106002984,8562.634362079889,13.939256076904712,0,0,0,Moderate,0,0,0,0,0,0,NA,86,NA,NA,NA,NA
2021,78Sleep,1000000,1151412,alt,151412,Diesel,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,6.925542724448029,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,2.975979101,NA,1,250,896.1680079175497,1,8022.768541580227,8562.634362079889,539.8658204996618,0,0,0,Moderate,0,0,0,0,0,0,NA,NA,86,NA,NA,NA
2021,78Sleep,1000000,1151412,alt,151412,Electricity,N/A,TRUE,2025,0,0.5,5,5,0,350,0,0,13.444232915384625,1,476.9440095343597,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,9.4237110214,NA,1,250,896.1680079175497,1,13086.820055098646,8562.634362079889,-4524.185693018757,0,0,0,Moderate,0,0,0,0,0,0,NA,NA,NA,86,NA,NA
2021,78Sleep,1000000,1151412,alt,151412,Hydrogen,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,8.64397100028433,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,9.301788375558868,NA,1,250,896.1680079175497,1,20090.9906799033,8562.634362079889,-11528.356317823413,0,0,0,Moderate,0,0,0,0,0,0,NA,NA,NA,NA,86,NA
2021,78Sleep,1000000,1151412,alt,151412,Diesel,N/A,FALSE,2025,0,0,5,5,0,350,0,0,1,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,2.975979101,NA,1,250,896.1680079175497,1,55562.02630307146,8562.634362079889,-46999.391940991576,0,0,0,Moderate,0,0,0,0,0,0,NA,NA,NA,NA,NA,86
2022,78Sleep,152694.0529132503,152694.0529132503,base,152694.0529132503,Diesel,N/A,FALSE,NA,NA,NA,NA,NA,0,350,0,NA,6.618661358461285,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0226090701,NA,1,250,896.1680079175497,1,8526.28840624671,8526.28840624671,0,NA,NA,0.062176524022116264,Moderate,0,0,0,1,0.050731034221433824,0.025879387454831333,NA,NA,NA,NA,NA,NA
2022,78Sleep,1000000,1152694.0529132504,alt,152694.0529132503,Diesel,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,6.701253485566385,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0226090701,NA,1,250,896.1680079175497,1,8421.202947638072,8526.28840624671,105.08545860863705,0,0,0,Moderate,0,0,0,0,0,0,NA,86,NA,NA,NA,NA
2022,78Sleep,1000000,1152694.0529132504,alt,152694.0529132503,Diesel,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,7.150826115602847,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.0226090701,NA,1,250,896.1680079175497,1,7891.761692035498,8526.28840624671,634.5267142112116,0,0,0,Moderate,0,0,0,0,0,0,NA,NA,86,NA,NA,NA
2022,78Sleep,1000000,1152694.0529132504,alt,152694.0529132503,Electricity,N/A,TRUE,2025,0,0.5,5,5,0,350,0,0,13.708325284148495,1,482.65361777609206,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,9.5316462518,NA,1,250,896.1680079175497,1,12981.704330202116,8526.28840624671,-4455.4159239554065,0,0,0,Moderate,0,0,0,0,0,0,NA,NA,NA,86,NA,NA
